"RS40003","RS40004","RS40005","RS40007","RS40008","RS40009","RS40010","RS40011","RS40012","RS40013","RS40014","RS40015","RS40016","RS40017","RS40018","Alarm"
49.2,27.9,-0.5445,30.331054,-0.528,23.3,-0.505,-0.5185,-0.557,0.125,23.86,0.1,-0.4775,85.65,90.35,0
49.3,27.5,-0.543,29.5175775,-0.525,23.14,-0.505,-0.524,-0.552,0.075,23.26,0.075,-0.475,85,88.625,1
49.1,27.6,-0.5405,28.704101,-0.5255,22.92,-0.5025,-0.5185,-0.552,0.075,23.2,0.15,-0.4735,84.925,86.8,0
49,27.7,-0.5405,34.282226,-0.525,22.16,-0.5025,-0.5185,-0.55,0.125,22.96,0.05,-0.4735,84.35,85.65,0
48.9,27.6,-0.5405,34.282226,-0.5255,22.28,-0.505,-0.5185,-0.5595,0.1,22.7,0.15,-0.475,84.275,85.775,0
49,27.6,-0.544,31.4931635,-0.5255,21.9,-0.5025,-0.52,-0.5555,0.1,22.56,0.05,-0.4735,83.85,84.85,0
48.8,28.1,-0.5425,28.704101,-0.525,21.32,-0.5065,-0.524,-0.557,0.1,22.38,0.15,-0.4735,83.45,84.375,0
49,27.7,-0.539,28.704101,-0.5255,21.18,-0.505,-0.5185,-0.5555,0.175,22.4,0.075,-0.475,83.225,83.525,0
49.1,27.6,-0.5445,28.704101,-0.528,20.9,-0.501,-0.5185,-0.5555,0.125,22.1,0.1,-0.475,82.65,83.9,0
49.2,27.5,-0.5445,30.912109,-0.5255,20.62,-0.506,-0.5205,-0.5545,0.1,21.76,0.05,-0.4735,82.75,82.375,0
49,27.8,-0.5405,31.144531,-0.5255,20.44,-0.501,-0.5185,-0.552,0.075,21.64,0.075,-0.475,83.025,81.85,0
49.2,27.7,-0.5405,30.2148435,-0.526,20.34,-0.505,-0.5185,-0.557,0.075,21.4,0.1,-0.4775,83.45,81.725,0
49.1,27.9,-0.543,29.285156,-0.528,20.06,-0.503,-0.5205,-0.5545,0.1,21.36,0.125,-0.4775,83.75,82.3,0
49.1,28,-0.5455,28.704101,-0.5295,20.32,-0.5025,-0.52,-0.5495,0.125,21.06,0.075,-0.475,82.95,82.925,0
49.3,27.8,-0.5445,28.8784175,-0.528,20.06,-0.5025,-0.5185,-0.552,0.1,20.92,0.15,-0.47675,82.7625,83.475,0
49.3,27.6,-0.5445,29.052734,-0.5295,20.2,-0.501,-0.52,-0.552,0.1,20.88,0.075,-0.4785,82.575,83.025,0
49.3,27.7,-0.543,31.260742,-0.5295,19.44,-0.5025,-0.52,-0.5555,0.15,21.16,0.1,-0.4735,82.35,82.55,0
49.1,28,-0.544,32.364746,-0.5255,19.98,-0.5065,-0.526,-0.556,0.075,20.74,0.15,-0.477,83,82.225,0
49.2,28.3,-0.5445,33.46875,-0.53,19.52,-0.501,-0.521,-0.554,0.05,20.38,0.1,-0.4785,83.025,82.825,0
49.4,28,-0.543,33.003908,-0.5275,19.2,-0.502,-0.5205,-0.552,0.075,20.54,0.075,-0.475,83.85,83.575,0
49.4,28,-0.5455,32.539064,-0.5295,19.1,-0.502,-0.5215,-0.5555,0.125,20.08,0.025,-0.4735,83.725,84.6,0
49.3,27.6,-0.5445,32.07422,-0.5295,19.44,-0.5025,-0.521,-0.554,0.025,20.06,0.1,-0.475,84.85,86.075,1
49.4,27.4,-0.5405,31.609376,-0.5275,19.36,-0.502,-0.521,-0.552,0.075,20.1,0.175,-0.477,85.3,86.175,0
49.5,27.8,-0.5445,31.144532,-0.526,19.2,-0.503,-0.521,-0.552,0.075,19.88,0.15,-0.4775,84.875,87.175,0
49.2,28.1,-0.5445,30.679688,-0.53,19.22,-0.5025,-0.524,-0.5555,0.1,19.98,0.075,-0.475,84.65,86.65,0
49.4,28,-0.5445,30.214844,-0.5295,19.26,-0.505,-0.5185,-0.5505,0.05,19.91,0.05,-0.477,85.975,87.425,0
49.3,28.2,-0.545,29.75,-0.531,19.34,-0.5065,-0.5205,-0.5555,0.075,19.84,0.05,-0.4805,85.65,87.75,0
49.5,28,-0.541,29.285156,-0.5295,19.56,-0.5025,-0.519,-0.5555,0.175,20.16,0.1,-0.477,85.45,88.875,0
49.3,28.2,-0.543,28.820312,-0.5295,19.36,-0.505,-0.52,-0.5475,0.175,19.88,0.15,-0.4735,85.525,89.025,0
49.5,28,-0.5445,28.820312,-0.5295,19.5,-0.5045,-0.521,-0.554,0.125,19.98,0.05,-0.477,84.875,89.125,0
49.6,27.8,-0.545,28.9,-0.5315,19.26,-0.5045,-0.52,-0.555,0.05,20.38,0.075,-0.475,84.625,87.15,0
49.5,27.5,-0.5445,29,-0.5295,19.26,-0.507,-0.524,-0.5555,0.1,19.8,0.15,-0.479,84.65,86.975,0
49.4,27.8,-0.5445,29.1,-0.528,19.88,-0.5065,-0.5205,-0.557,0.075,19.88,0.075,-0.4775,84.525,86.1,0
49.3,28,-0.5445,29.2,-0.528,19.84,-0.5025,-0.52,-0.5515,0.075,20.26,0.125,-0.477,85.4,87.65,0
49.3,28.1,-0.545,29.3,-0.529,19.8,-0.507,-0.521,-0.557,0.1,19.72,0.15,-0.4775,84.6,87.925,0
49.3,28.1,-0.545,29.401367,-0.52925,19.1,-0.5065,-0.52,-0.557,0.075,20.08,0.05,-0.4775,84.5,87.15,0
49.3,28.1,-0.545,29.401367,-0.5295,19.14,-0.506,-0.52,-0.5595,0.075,19.9,0.175,-0.475,84.5,87.4,0
49.3,28.2,-0.545,30.214843,-0.5295,19.12,-0.5045,-0.52,-0.5505,0.125,19.9,0.025,-0.4775,84.4,87.55,0
49.3,28.2,-0.541,30.447265,-0.5255,19.04,-0.5065,-0.52,-0.554,0.15,20.16,0.05,-0.4775,84.85,87.625,0
49.3,28.2,-0.542,29.052734,-0.5275,19.5,-0.5065,-0.52,-0.554,0.025,19.58,0.125,-0.475,84.975,87.7,0
49.3,28.3,-0.543,30.214843,-0.5295,19.64,-0.505,-0.52,-0.557,0.075,19.66,0.075,-0.4745,85.75,88.35,0
49.5,27.8,-0.5445,28.704101,-0.5295,19.04,-0.507,-0.52,-0.55,0.05,19.7,0.15,-0.477,86.175,88.55,0
49.5,27.4,-0.5445,30.331054,-0.531,19.18,-0.5065,-0.521,-0.5335,0.05,19.62,0.05,-0.477,85.925,88.975,0
49.4,27.7,-0.543,30.214843,-0.5295,19.2,-0.506,-0.52,-0.55,0.1,19.66,0.125,-0.4775,85.05,89.075,0
49.3,28.2,-0.543,29.633789,-0.53,19.62,-0.5065,-0.521,-0.5495,0.125,19.62,0.125,-0.475,84.95,88.325,0
49.5,28.2,-0.543,28.3554685,-0.5295,19.58,-0.5065,-0.521,-0.5495,0.125,19.6,0.025,-0.479,85.075,88.125,0
49.5,28.1,-0.549,27.077148,-0.5335,19.2,-0.505,-0.524,-0.5505,0.125,19.6,0.1,-0.483,85.15,88.175,0
49.5,27.6,-0.547,29.168945,-0.5335,19.68,-0.5065,-0.5215,-0.5505,0.1,19.72,0.125,-0.4805,85.775,88.375,0
49.5,27.8,-0.545,30,-0.5335,19.86,-0.506,-0.524,-0.554,0.175,19.58,0.15,-0.4775,85.875,89.05,0
49.6,27.9,-0.545,30.6884765,-0.53175,19.7,-0.507,-0.521,-0.554,0.175,19.6,0.1,-0.4775,86.175,89.925,1
49.5,28,-0.545,31.376953,-0.53,19.42,-0.507,-0.5245,-0.55,0.15,19.74,0.125,-0.479,85.3,90.05,2
49.5,28,-0.5455,27.541992,-0.5295,19.8,-0.5065,-0.521,-0.5595,0.125,19.72,0.15,-0.479,85.125,89.075,1
49.6,28.1,-0.5485,28.820312,-0.531,19.22,-0.5075,-0.525,-0.554,0.1375,19.78,0.1,-0.479,85.325,88.8,0
49.6,27.8,-0.5485,30.679687,-0.531,19.54,-0.5095,-0.525,-0.555,0.15,19.84,0.1,-0.4805,85.625,89.15,0
49.6,27.6,-0.548,30.912109,-0.531,19.32,-0.5065,-0.5195,-0.5555,0.075,19.98,0.125,-0.479,86.4,89.625,0
49.6,27.9,-0.5485,30.912109,-0.531,19.38,-0.5065,-0.5245,-0.561,0.05,20.02,0.1,-0.4775,85.925,89.275,0
49.6,28.1,-0.5455,29.5756835,-0.5315,19.94,-0.506,-0.521,-0.552,0.15,19.98,0.1,-0.4785,85.45,89.575,0
49.6,28.4,-0.545,28.239258,-0.5295,19.28,-0.507,-0.521,-0.5555,0.15,20.26,0.1,-0.48,85.4,89.375,0
49.7,28.5,-0.5485,28.239258,-0.5335,19.96,-0.507,-0.521,-0.5555,0.15,20.06,0.15,-0.479,84.975,89.275,0
49.7,28.2,-0.545,28.239258,-0.5295,19.34,-0.5065,-0.521,-0.554,0.175,20.24,0.15,-0.479,84.525,88.85,0
49.8,28.1,-0.545,31.376953,-0.531,19.36,-0.507,-0.521,-0.5555,0.15,19.76,0.05,-0.4805,85.125,88.325,0
49.8,28,-0.5445,27.541992,-0.5295,19.12,-0.5045,-0.52,-0.554,0.175,19.74,0.125,-0.479,84.975,87.625,0
49.7,28.1,-0.545,27.541992,-0.531,19.3,-0.505,-0.52,-0.5475,0.1,20.12,0.125,-0.479,85.075,88.6,0
49.6,28.5,-0.5505,29.168945,-0.5335,19.58,-0.506,-0.521,-0.554,0.05,19.84,0.025,-0.4835,85.575,89.625,0
49.6,28.6,-0.548,28.239258,-0.531,19.3,-0.5065,-0.5265,-0.5515,0.075,19.6,0.075,-0.4785,85.075,89.4,0
49.7,28.5,-0.545,29.633789,-0.5295,19.62,-0.505,-0.524,-0.552,0.15,20.02,0.15,-0.4775,85.125,89.35,0
49.7,28.4,-0.5455,30.447265,-0.531,19.3,-0.505,-0.524,-0.5515,0.15,19.76,0.175,-0.4805,84.825,88.675,0
49.7,28.7,-0.5485,27.193359,-0.5295,19.3,-0.5065,-0.5265,-0.554,0.15,19.6,0.05,-0.479,84.9,88.425,0
49.7,28.3,-0.548,30.098633,-0.5315,19.32,-0.505,-0.5245,-0.554,0.1,19.64,0.05,-0.479,85.525,88.2,0
49.8,28.3,-0.5445,29.401367,-0.5295,19.26,-0.5065,-0.526,-0.5505,0.125,20.22,0.075,-0.4785,86.35,89.025,0
49.9,28.3,-0.5485,29.75,-0.5295,19.72,-0.505,-0.5265,-0.554,0.05,19.92,0.125,-0.479,85.975,89.95,0
49.8,28.5,-0.5455,29.401367,-0.5295,19.68,-0.5065,-0.5265,-0.5595,0.125,19.62,0.1,-0.4775,85.725,89.75,0
49.7,28.6,-0.545,28.355468,-0.5295,19.42,-0.505,-0.525,-0.554,0.15,19.76,0.025,-0.479,86.025,89.7,0
49.9,28.5,-0.543,30.563476,-0.531,19.48,-0.5025,-0.524,-0.557,0.15,20.06,0.075,-0.4805,85.25,89.475,0
49.8,28.4,-0.549,28.58789,-0.535,19.74,-0.5025,-0.524,-0.5555,0.125,19.88,0.125,-0.481,84.975,89.05,0
49.8,28.4,-0.545,31.144531,-0.531,19.68,-0.505,-0.521,-0.557,0.125,19.68,0.15,-0.477,85.4,88.825,0
49.7,28.6,-0.545,29.517578,-0.531,19.38,-0.5025,-0.52,-0.5555,0.1,20.12,0.1,-0.4775,86,89.05,0
49.8,28.5,-0.545,30.447265,-0.533,19.44,-0.505,-0.5205,-0.5535,0.125,20.32,0.15,-0.479,86.25,89.725,0
49.7,28.4,-0.545,30.098633,-0.531,20.02,-0.505,-0.521,-0.559,0.1,19.86,0.1,-0.4775,85.5,89.45,0
