"eID","RS40003","RS40004","RS40005","RS40007","RS40008","RS40009","RS40010","RS40011","RS40012","RS40013","RS40014","RS40015","RS40016","RS40017","RS40018"
1,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
2,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
3,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
4,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
5,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
6,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
7,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
8,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
9,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
10,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
11,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
12,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
13,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
14,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
15,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
16,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
17,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
18,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
19,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
20,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
21,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
22,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
23,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
24,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
25,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
26,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
27,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
28,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
29,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
30,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
31,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
32,"top_10%","top_10%",NA,"top_10%",NA,"top_10%",NA,NA,NA,NA,"top_10%",NA,NA,"top_10%","top_10%"
